result,execution_time
2167,0.090007
2167,0.089179
2167,0.089663
2167,0.090108
2167,0.090327
2167,0.089644
2167,0.089424
2167,0.089665
2167,0.091134
2167,0.089799
2167,0.090306
2167,0.088892
2167,0.089662
2167,0.089411
2167,0.087874
2167,0.089050
2167,0.089722
2167,0.088959
2167,0.090706
2167,0.089251
2167,0.089980
2167,0.089907
2167,0.089924
2167,0.090555
2167,0.089488
2167,0.090238
2167,0.089594
2167,0.089153
2167,0.089034
2167,0.088915
2167,0.089430
2167,0.088857
2167,0.089113
2167,0.089538
2167,0.089874
2167,0.090804
2167,0.088531
2167,0.088228
2167,0.090946
2167,0.090171
2167,0.089422
2167,0.088882
2167,0.088688
2167,0.089685
2167,0.089191
2167,0.090561
2167,0.089956
2167,0.090161
2167,0.089663
2167,0.090129
2167,0.090000
2167,0.090586
2167,0.089735
2167,0.091361
2167,0.092348
2167,0.089730
2167,0.089753
2167,0.089504
2167,0.087799
2167,0.090613
