result,execution_time
2167,0.089450
2167,0.087503
2167,0.087362
2167,0.088561
2167,0.088613
2167,0.087546
2167,0.089507
2167,0.090215
2167,0.087668
2167,0.088630
2167,0.088511
2167,0.088624
2167,0.088922
2167,0.088667
2167,0.088144
2167,0.088637
2167,0.088554
2167,0.088943
2167,0.087602
2167,0.087749
2167,0.087808
2167,0.087632
2167,0.090611
2167,0.088382
2167,0.089190
2167,0.088510
2167,0.088039
2167,0.088840
2167,0.089575
2167,0.087926
2167,0.089866
2167,0.088732
2167,0.088387
2167,0.089916
2167,0.088237
2167,0.088402
2167,0.087625
2167,0.087855
2167,0.087944
2167,0.086918
2167,0.089207
2167,0.088474
2167,0.088663
2167,0.088586
2167,0.088021
2167,0.089810
2167,0.087807
2167,0.087355
2167,0.088164
2167,0.088072
2167,0.088850
2167,0.087254
2167,0.087383
2167,0.087177
2167,0.089562
2167,0.087644
2167,0.088426
2167,0.089878
2167,0.088291
2167,0.089051
2167,0.087848
2167,0.087404
2167,0.088664
2167,0.087529
2167,0.088034
2167,0.087300
2167,0.088974
2167,0.088107
2167,0.088114
2167,0.088548
2167,0.088287
2167,0.088036
2167,0.088605
2167,0.088912
2167,0.088463
2167,0.087555
2167,0.091035
2167,0.087986
2167,0.089294
2167,0.088775
2167,0.088782
2167,0.088812
2167,0.087648
2167,0.087891
2167,0.087670
2167,0.087846
2167,0.088714
2167,0.088427
2167,0.087778
2167,0.087361
2167,0.088445
2167,0.089356
2167,0.089662
2167,0.087958
2167,0.089112
2167,0.088723
2167,0.088150
2167,0.087718
2167,0.088780
2167,0.088642
2167,0.088465
2167,0.088618
2167,0.088615
2167,0.089828
2167,0.089388
2167,0.087818
2167,0.088405
2167,0.088646
2167,0.088984
2167,0.088030
2167,0.088423
2167,0.087606
2167,0.087820
2167,0.087250
2167,0.088060
2167,0.089479
2167,0.088260
2167,0.089219
2167,0.088363
2167,0.090202
2167,0.087763
2167,0.088186
2167,0.089572
2167,0.088651
2167,0.088020
2167,0.087869
2167,0.089003
2167,0.088925
2167,0.088530
2167,0.089581
2167,0.088698
2167,0.089600
2167,0.087357
2167,0.087816
2167,0.088494
2167,0.090251
2167,0.087938
2167,0.087714
2167,0.087631
2167,0.088689
2167,0.088414
2167,0.089696
2167,0.087023
2167,0.088118
2167,0.088536
2167,0.088514
2167,0.090788
2167,0.088393
2167,0.087579
2167,0.088652
