result,execution_time
2167,0.088819
2167,0.088589
2167,0.089838
2167,0.090247
2167,0.090403
2167,0.089516
2167,0.090378
2167,0.090223
2167,0.090402
2167,0.089815
2167,0.089803
2167,0.089121
2167,0.090092
2167,0.090077
2167,0.089478
2167,0.090284
2167,0.090036
2167,0.089225
2167,0.089978
2167,0.087912
2167,0.089784
2167,0.088005
2167,0.090046
2167,0.092355
2167,0.089336
2167,0.090453
2167,0.087615
2167,0.090476
2167,0.089600
2167,0.088098
2167,0.088849
2167,0.088944
2167,0.089319
2167,0.090004
2167,0.088972
2167,0.090680
2167,0.089543
2167,0.088468
2167,0.087942
2167,0.089607
2167,0.089300
2167,0.090538
2167,0.089300
2167,0.089040
2167,0.090262
2167,0.088919
2167,0.088472
2167,0.089785
2167,0.089705
2167,0.088774
2167,0.089658
2167,0.088815
2167,0.090313
2167,0.089517
2167,0.089709
2167,0.088684
2167,0.088354
2167,0.090127
2167,0.088208
2167,0.088396
2167,0.089391
2167,0.089560
2167,0.088273
2167,0.089680
2167,0.089700
2167,0.088600
2167,0.090100
2167,0.088373
2167,0.089086
2167,0.089534
2167,0.089356
2167,0.088380
2167,0.090781
2167,0.088328
2167,0.089100
2167,0.090678
2167,0.088442
2167,0.089813
2167,0.089587
2167,0.089832
2167,0.088328
2167,0.088539
2167,0.088754
2167,0.089817
2167,0.090365
2167,0.088025
2167,0.088658
2167,0.091649
2167,0.088597
2167,0.089023
2167,0.088708
2167,0.089841
2167,0.088756
2167,0.088764
2167,0.090231
2167,0.088806
2167,0.090574
2167,0.089806
2167,0.089446
2167,0.089663
2167,0.089326
2167,0.090940
2167,0.089922
2167,0.089657
2167,0.088486
2167,0.089634
2167,0.089484
2167,0.089032
2167,0.089500
2167,0.089808
2167,0.090640
2167,0.089740
2167,0.088677
2167,0.089323
2167,0.090176
2167,0.089335
2167,0.088961
2167,0.089590
2167,0.088776
2167,0.089105
2167,0.089399
2167,0.089848
2167,0.089821
2167,0.091264
2167,0.090428
2167,0.088661
2167,0.090028
2167,0.090001
2167,0.089873
2167,0.088950
2167,0.088865
2167,0.089954
2167,0.089251
2167,0.088916
2167,0.089640
2167,0.088735
2167,0.090161
2167,0.088271
2167,0.089268
2167,0.089995
2167,0.090394
2167,0.089682
2167,0.089963
2167,0.088216
2167,0.088025
2167,0.090139
2167,0.088029
2167,0.090804
2167,0.089008
2167,0.090433
