result,execution_time
2167,0.090007
2167,0.089179
2167,0.089663
2167,0.090108
2167,0.090327
2167,0.089644
2167,0.089424
2167,0.089665
2167,0.091134
2167,0.089799
2167,0.090306
2167,0.088892
2167,0.089662
2167,0.089411
2167,0.087874
2167,0.089050
2167,0.089722
2167,0.088959
2167,0.090706
2167,0.089251
2167,0.089980
2167,0.089907
2167,0.089924
2167,0.090555
2167,0.089488
2167,0.090238
2167,0.089594
2167,0.089153
2167,0.089034
2167,0.088915
2167,0.089430
2167,0.088857
2167,0.089113
2167,0.089538
2167,0.089874
2167,0.090804
2167,0.088531
2167,0.088228
2167,0.090946
2167,0.090171
2167,0.089422
2167,0.088882
2167,0.088688
2167,0.089685
2167,0.089191
2167,0.090561
2167,0.089956
2167,0.090161
2167,0.089663
2167,0.090129
2167,0.090000
2167,0.090586
2167,0.089735
2167,0.091361
2167,0.092348
2167,0.089730
2167,0.089753
2167,0.089504
2167,0.087799
2167,0.090613
2167,0.089672
2167,0.088858
2167,0.089733
2167,0.090201
2167,0.089878
2167,0.090450
2167,0.089004
2167,0.090137
2167,0.087770
2167,0.088819
2167,0.090247
2167,0.088615
2167,0.090061
2167,0.090027
2167,0.090093
2167,0.088994
2167,0.088201
2167,0.089457
2167,0.088091
2167,0.090520
2167,0.090075
2167,0.089366
2167,0.089214
2167,0.089804
2167,0.089260
2167,0.089609
2167,0.088442
2167,0.089984
2167,0.088574
2167,0.088946
2167,0.089162
2167,0.089637
2167,0.090436
2167,0.088601
2167,0.089598
2167,0.088489
2167,0.090111
2167,0.090847
2167,0.088631
2167,0.089447
2167,0.088710
2167,0.088798
2167,0.089241
2167,0.089755
2167,0.090227
2167,0.087849
2167,0.090068
2167,0.088654
2167,0.088194
2167,0.090203
2167,0.088654
2167,0.090323
2167,0.089359
2167,0.087978
2167,0.090284
2167,0.088738
2167,0.090244
2167,0.087760
2167,0.088597
2167,0.089593
