result,execution_time
0,4.367786
0,4.365025
0,4.350577
0,4.358113
0,4.371395
0,4.386805
0,4.361412
0,4.350526
0,4.351598
0,4.359442
0,4.379026
0,4.370660
0,4.359393
0,4.364580
0,4.366409
0,4.383576
0,4.354138
0,4.347741
0,4.379938
0,4.391069
0,4.370634
0,4.361385
0,4.369243
0,4.363080
0,4.351903
0,4.360448
0,4.384592
0,4.362921
0,4.357186
0,4.359292
-2,4.353717
-2,4.384613
-2,4.371335
-2,4.356033
-2,4.366348
-2,4.356415
-2,4.366125
-2,4.370644
-2,4.360924
-2,4.385056
-2,4.355009
-2,4.359733
-2,4.384915
-2,4.363320
-2,4.384781
-2,4.392832
-2,4.381439
-2,4.367908
-2,4.410759
-2,4.358593
-2,4.369626
-2,4.358899
-2,4.354001
-2,4.358307
-2,4.382476
-2,4.373931
-2,4.384693
-2,4.379175
-2,4.379839
-2,4.356051
-2,4.361709
-2,4.382738
-2,4.361028
-2,4.353557
-2,4.367228
-2,4.374691
-2,4.344801
-2,4.386852
-2,4.358018
-2,4.351585
-2,4.347113
-2,4.357495
-2,4.378620
-2,4.358688
-2,4.378204
-2,4.380816
-2,4.352343
-2,4.352928
-2,4.345592
-2,4.382862
-2,4.382268
-2,4.361804
-2,4.350137
-2,4.359530
-2,4.367390
-2,4.358369
-2,4.378910
-2,4.362696
-2,4.359033
-2,4.361786
0,4.378376
0,4.369054
0,4.382595
0,4.380303
0,4.358691
0,4.352313
0,4.364088
0,4.381117
0,4.356471
0,4.354483
0,4.351563
0,4.386564
0,4.364868
0,4.361652
0,4.356429
0,4.366437
0,4.369227
0,4.362352
0,4.356390
0,4.376772
0,4.380445
0,4.367533
0,4.362773
0,4.364634
0,4.350592
0,4.373135
0,4.361138
0,4.378613
0,4.354227
0,4.377416
