result,execution_time
0,4.367786
0,4.365025
0,4.350577
0,4.358113
0,4.371395
0,4.386805
0,4.361412
0,4.350526
0,4.351598
0,4.359442
0,4.379026
0,4.370660
0,4.359393
0,4.364580
0,4.366409
0,4.383576
0,4.354138
0,4.347741
0,4.379938
0,4.391069
0,4.370634
0,4.361385
0,4.369243
0,4.363080
0,4.351903
0,4.360448
0,4.384592
0,4.362921
0,4.357186
0,4.359292
-2,4.353717
-2,4.384613
-2,4.371335
-2,4.356033
-2,4.366348
-2,4.356415
-2,4.366125
-2,4.370644
-2,4.360924
-2,4.385056
-2,4.355009
-2,4.359733
-2,4.384915
-2,4.363320
-2,4.384781
-2,4.392832
-2,4.381439
-2,4.367908
-2,4.410759
-2,4.358593
-2,4.369626
-2,4.358899
-2,4.354001
-2,4.358307
-2,4.382476
-2,4.373931
-2,4.384693
-2,4.379175
-2,4.379839
-2,4.356051
